team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
VFC,Stefan Cebara,14,m,458,0,0,308,202,80.5,2,0.0,4,45,6,0.5
ATO,Víctor Martínez Manrique,5,m,450,1,0,247,174,72.4,2,0.0,0,49,7,0.48
PFC,Jamar Dixon,22,m,320,1,0,178,131,75.0,0,0.0,4,44,11,0.47
HFX,Alex Marshall,7,m,338,0,1,158,89,66.7,9,0.0,3,56,7,0.47
FCE,Hanson Boakai,10,m,309,0,0,200,126,92.6,12,25.0,2,41,7,0.47
ATO,Ben McKendry,22,m,318,0,0,210,154,58.8,2,0.0,2,41,17,0.46
Y9,Wataru Murofushi,23,m,317,0,0,234,200,100.0,0,0.0,3,27,3,0.43
CFC,Elliot Simmons,15,m,267,0,0,220,184,60.0,2,0.0,1,30,7,0.39
CFC,Bruno Zebie,16,m,258,0,0,162,109,80.0,3,0.0,0,34,10,0.38
FCE,Antony Caceres,20,m,203,0,1,104,60,83.3,2,0.0,3,30,5,0.38
ATO,Ajay Khabra,23,m,289,0,0,150,125,92.0,1,0.0,1,28,4,0.36
VFC,Dante Campbell,48,m,227,0,0,157,95,71.4,1,0.0,1,29,6,0.34
Y9,Max Ferrari,16,m,146,0,0,78,45,71.4,5,50.0,1,27,3,0.33
PFC,Alessandro Hojabrpour,21,m,225,0,0,105,78,79.2,0,0.0,1,19,6,0.32
PFC,Sean Young,20,m,212,0,0,106,79,66.7,0,0.0,4,21,4,0.32
FCE,Yong-Chan Son,7,m,213,0,0,112,67,83.3,5,0.0,3,15,1,0.31
PFC,Noah Verhoeven,19,m,109,0,0,115,89,81.5,4,0.0,3,16,3,0.31
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.29
FCE,Chance Carter,14,m,128,0,0,74,56,100.0,0,0.0,1,11,4,0.28
ATO,Antoine Coupland,11,m,97,0,0,29,12,100.0,0,0.0,0,16,4,0.25
VFC,Solomon Kojo Antwi,25,m,78,0,0,44,21,75.0,0,0.0,0,16,5,0.24
VFC,Moses Dyer,6,m,271,1,0,134,72,0.0,3,0.0,3,47,3,0.23
HFX,Scott Firth,15,m,8,0,0,7,6,100.0,0,0.0,1,0,0,0.2
PFC,Josh Heard,11,m,27,0,0,15,9,100.0,0,0.0,0,5,0,0.2
ATO,Michel Djaozandry,12,m,6,0,0,4,1,100.0,0,0.0,0,2,1,0.2
Y9,Chris Mannella,5,m,22,0,0,16,13,92.3,0,0.0,0,5,1,0.2
Y9,Michael Petrasso,21,m,66,0,0,26,12,33.3,3,0.0,0,7,0,0.16
HFX,Omar Kreim,8,m,110,1,0,62,26,0.0,3,0.0,1,22,4,0.13
Y9,Isaiah Johnston,44,m,18,0,0,14,10,0.0,0,0.0,0,3,2,0.02
