team,name,position,number,nationality,dob,image,flag,link,overall,display
FC Edmonton,Chris Ezoua,g,31,Canada,NA,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Ezoua,,Chris Ezoua
FC Edmonton,Connor James,g,1,Canada,1996-07-17,Connor-James.1.png,Canada.png,https://en.wikipedia.org/wiki/Connor_James,,Connor James
FC Edmonton,David Doe,f,26,Canada,2000-11-30,David-Doe.1.png,Canada.png,https://en.wikipedia.org/wiki/David_Doe,,David Doe
FC Edmonton,Duran Lee,d,0,Canada,1995-05-09,Duran-Lee.1.png,Canada.png,https://en.wikipedia.org/wiki/Duran_Lee,,Duran Lee
FC Edmonton,Dylon Powley,g,13,Canada,1996-09-05,Dylon-Powley.1.png,Canada.png,https://en.wikipedia.org/wiki/Dylon_Powley,,Dylon Powley
FC Edmonton,Easton Ongaro,f,19,Canada,1998-06-05,Easton-Ongaro.1.png,Canada.png,https://en.wikipedia.org/wiki/Easton_Ongaro,,Easton Ongaro
FC Edmonton,Edem Mortotsi,m,6,Ghana,1993-04-16,Edem-Mortotsi.1.png,Ghana.png,https://en.wikipedia.org/wiki/Edem_Mortotsi,,Edem Mortotsi
FC Edmonton,Erik Zetterberg,m,0,Sweden,1997-02-16,Erik-Zetterberg.1.png,Sweden.png,https://en.wikipedia.org/wiki/Erik_Zetterberg,,Erik Zetterberg
FC Edmonton,Hanson Boakai,m,0,Canada,1996-10-28,Hanson-Boakai.1.png,Canada.png,https://en.wikipedia.org/wiki/Hanson_Boakai,,Hanson Boakai
FC Edmonton,Jeannot Esua,d,3,Cameroon,1996-08-08,Jeannot-Esua.1.png,Cameroon.png,https://en.wikipedia.org/wiki/Jeannot_Esua,,Jeannot Esua
FC Edmonton,Kareem Moses,d,12,Trinidad and Tobago,1990-02-11,Kareem-Moses.1.png,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Kareem_Moses,,Kareem Moses
FC Edmonton,Keven Alemán,m,0,Canada,1994-03-25,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Keven_Alemán,,Keven Alemán
FC Edmonton,Marcus Velado-Tsegaye,f,17,Canada,2001-07-02,Marcus-Velado-Tsegaye.1.png,Canada.png,https://en.wikipedia.org/wiki/Marcus_Velado-Tsegaye,,Marcus Velado-Tsegaye
FC Edmonton,Mélé Temguia,d,8,Germany,1995-08-01,Mélé-Temguia.1.png,Germany.png,https://en.wikipedia.org/wiki/Mélé_Temguia,,Mélé Temguia
FC Edmonton,Prince Amanda,f,16,Canada,2001-03-23,Prince-Amanda.1.png,Canada.png,https://en.wikipedia.org/wiki/Prince_Amanda,,Prince Amanda
FC Edmonton,Ramón Soria,d,5,Spain,1989-03-07,Ramón-Soria.1.png,Spain.png,https://en.wikipedia.org/wiki/Ramón_Soria,,Ramón Soria
FC Edmonton,Raúl Tito,m,0,Peru,1997-09-05,empty.jpg,Peru.png,https://en.wikipedia.org/wiki/Raúl_Tito,,Raúl Tito
FC Edmonton,Yong-Chan Son,m,7,South Korea,1991-04-15,Yongchan-Son.1.png,SouthKorea.png,https://en.wikipedia.org/wiki/Yong-Chan_Son,,Yong-Chan Son
FC Edmonton,Tomi Ameobi,f,18,England,1988-08-16,Tomi-Ameobi.1.png,England.png,https://en.wikipedia.org/wiki/Tomi_Ameobi,,Tomi Ameobi
Forge FC,Alexander Achinioti-Jönsson,m,13,Sweden,1996-04-17,Alexander-Achinioti-Jönsson.1.jpg,Sweden.png,https://en.wikipedia.org/wiki/Alexander_Achinioti-Jönsson,,Alexander Achinioti-Jönsson
Forge FC,Christopher Nanco,f,13,Canada,1995-02-15,Christopher-Nanco.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Nanco,,Chris Nanco
Forge FC,Daniel Krutzen,d,5,Belgium,1996-09-19,Daniel-Krutzen.1.jpg,Belgium.png,https://en.wikipedia.org/wiki/Daniel_Krutzen,,Daniel Krutzen
Forge FC,David Choinière,m,7,Canada,1997-02-07,David-Choiniére.1.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Choinière,,David Choinière
Forge FC,David Edgar,d,30,Canada,1987-05-19,David-Edgar.1.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Edgar,,David Edgar
Forge FC,David Andrés Monsalve,g,0,Canada,1998-12-21,David-Monsalve.1.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Monsalve,,David Monsalve
Forge FC,Dominic Samuel,d,4,Canada,1994-09-29,Dominic-Samuel.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominic_Samuel,,Dominic Samuel
Forge FC,Elimane Cissé,m,3,Senegal,1995-03-12,Elimane-Cissé.1.jpg,Senegal.png,https://en.wikipedia.org/wiki/Elimane_Cissé,,Elimane Cissé
Forge FC,Giuliano Frano,m,8,Canada,1993-05-16,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Giuliano_Frano,,Giuliano Frano
Forge FC,Jonathan Grant,d,2,Canada,1993-10-15,Jonathan-Grant.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Jonathan_Grant,,Jonathan Grant
Forge FC,Kadell Thomas,f,17,Canada,1996-11-26,Kadell-Thomas.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kadell_Thomas,,Kadell Thomas
Forge FC,Klaidi Cela,d,16,Canada,1999-07-16,Klaidi-Cela.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Klaidi_Cela,,Klaidi Cela
Forge FC,Kwame Awuah,d,6,Canada,1995-12-02,Kwame-Awuah.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kwame_Awuah,,Kwame Awuah
Forge FC,Kyle Bekker,m,10,Canada,1990-09-02,Kyle-Bekker.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Bekker,,Kyle Bekker
Forge FC,Marcel Zajac,f,9,Canada,1998-04-29,Marcel-Zajac.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcel_Zajac,,Marcel Zajac
Forge FC,Monti Mohsen,d,22,Canada,2000-06-13,Monti-Mohsen.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Monti_Mohsen,,Monti Mohsen
Forge FC,Triston Henry,g,1,Canada,1993-09-08,Triston-Henry.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Triston_Henry,,Triston Henry
Forge FC,Anthony Novak,f,23,Canada,1994-03-27,Anthony-Novak.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Anthony_Novak,,Anthony Novak
HFX Wanderers FC,Aboubacar Sissoko,m,17,Mali,1995-10-09,Aboubacar-Sissoko.1.jpg,Mali.png,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,,Aboubacar Sissoko
HFX Wanderers FC,Akeem Garcia,f,11,Trinidad and Tobago,1996-11-09,Akeem-Garcia.1.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Akeem_Garcia,,Akeem Garcia
HFX Wanderers FC,Alessandro Riggi,f,10,Canada,1993-11-30,Alessandro-Riggi.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Riggi,,Alessandro Riggi
HFX Wanderers FC,Alex De Carolis,d,24,Canada,1992-09-24,Alex-De-Carolis.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Alex_De_Carolis,,Alex De Carolis
HFX Wanderers FC,Alex Marshall,m,7,Jamaica,1998-02-24,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Alex_Marshall,,Alex Marshall
HFX Wanderers FC,Andre Rampersad,m,18,Trinidad and Tobago,1995-02-02,Andre-Rampersad.1.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Andre_Rampersad,,Andre Rampersad
HFX Wanderers FC,Chrisnovic N'Sa,d,6,Canada,1999-01-28,Chrisnovic-N_sa.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chrisnovic_N'sa,,Chrisnovic N'sa
HFX Wanderers FC,Christian Oxner,g,50,Canada,1996-07-29,Christian-Oxner.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Christian_Oxner,,Christian Oxner
HFX Wanderers FC,Daniel Kinumbe,d,13,Canada,1999-03-15,Daniel-Kinumbe.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Daniel_Kinumbe,,Daniel Kinumbe
HFX Wanderers FC,Eriks Santos,d,31,Brazil,1996-02-23,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Eriks_Santos,,Eriks Santos
HFX Wanderers FC,Ibrahima Sanoh,f,9,Guinea,1994-04-11,Ibrahima-Sanoh.1.jpg,Guinea.png,https://en.wikipedia.org/wiki/Ibrahima_Sanoh,,Ibrahima Sanoh
HFX Wanderers FC,Jason Beaulieu,g,1,Canada,1994-02-12,Jason-Beaulieu.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Jason_Beaulieu,,Jason Beaulieu
HFX Wanderers FC,Jems Geffrard,d,3,Haiti,1994-08-26,Jems-Geffrard.1.jpg,Haiti.png,https://en.wikipedia.org/wiki/Jems_Geffrard,,Jems Geffrard
HFX Wanderers FC,João Morelli,f,22,Brazil,1996-03-11,João-Morelli.1.jpg,Brazil.png,https://en.wikipedia.org/wiki/João_Morelli,,João Morelli
HFX Wanderers FC,Louis Béland-Goyette,m,5,Canada,1995-09-15,Louis-Béland-Goyette.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Louis_Béland-Goyette,,Louis Béland-Goyette
HFX Wanderers FC,Mateo Restrepo,d,14,Canada,1997-04-29,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Mateo_Restrepo,,Mateo Restrepo
HFX Wanderers FC,Omar Kreim,m,8,Morocco,1995-02-10,Omar-Kreim.1.jpg,Morocco.png,https://en.wikipedia.org/wiki/Omar_Kreim,,Omar Kreim
HFX Wanderers FC,Peter Schaale,d,2,Germany,1996-06-14,Peter-Schaale.1.jpg,Germany.png,https://en.wikipedia.org/wiki/Peter_Schaale,,Peter Schaale
HFX Wanderers FC,Scott Firth,m,15,Canada,2001-03-02,Scott-Firth.jpg,Canada.png,https://en.wikipedia.org/wiki/Scott_Firth,,Scott Firth
HFX Wanderers FC,Cory Bent,m,15,England,NA,Cory-Bent.1.jpg,England.png,https://en.wikipedia.org/wiki/Scott_Firth,,Cory Bent
Pacific FC,Abdoulaye Samake,d,0,Mali,NA,Abdou-Samake.1.png,Mali.png,https://en.wikipedia.org/wiki/Abdou_Samake,,Abdou Samake
Pacific FC,Alejandro Díaz,f,0,Mexico,1996-01-27,Alejandro-Diaz.1.png,Mexico.png,https://en.wikipedia.org/wiki/Alejandro_Díaz,,Alejandro Diaz
Pacific FC,Alessandro Hojabrpour,m,21,Canada,2000-01-10,Alessandro-Hojabrpour.1.png,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Hojabrpour,,Alessandro Hojabrpour
Pacific FC,Callum Irving,g,0,Canada,1993-03-16,Callum-Irving.1.png,Canada.png,https://en.wikipedia.org/wiki/Callum_Irving,,Callum Irving
Pacific FC,Jamar Dixon,m,0,Canada,1989-06-05,Jamar-Dixon.1.png,Canada.png,https://en.wikipedia.org/wiki/Jamar_Dixon,,Jamar Dixon
Pacific FC,Kadin Chung,d,7,Canada,1998-09-05,Kadin-Chung.1.png,Canada.png,https://en.wikipedia.org/wiki/Kadin_Chung,,Kadin Chung
Pacific FC,Lukas MacNaughton,d,6,United States,1995-03-08,Lukas-MacNaughton.1.png,Canada.png,https://en.wikipedia.org/wiki/Lukas_MacNaughton,,Lukas MacNaughton
Pacific FC,Marcel de Jong,d,17,Canada,1986-10-15,Marcel-De-Jong.1.png,Canada.png,https://en.wikipedia.org/wiki/Marcel_de_Jong,,Marcel de Jong
Pacific FC,Marco Bustos,m,0,Canada,1996-04-22,Marco-Bustos.1.png,Canada.png,https://en.wikipedia.org/wiki/Marco_Bustos,,Marco Bustos
Pacific FC,Matthew Baldisimo,m,8,Canada,1998-01-20,Matthew-Baldisimo.1.png,Canada.png,https://en.wikipedia.org/wiki/Matthew_Baldisimo,,Matthew Baldisimo
Pacific FC,Noah Verhoeven,m,19,Canada,1999-06-15,Noah-Verhoeven.1.png,Canada.png,https://en.wikipedia.org/wiki/Noah_Verhoeven,,Noah Verhoeven
Pacific FC,Nolan Wirth,g,1,Canada,1995-01-24,Nolan-Wirth.1.png,Canada.png,https://en.wikipedia.org/wiki/Nolan_Wirth,,Nolan Wirth
Pacific FC,Terran Campbell,f,14,Canada,1998-10-10,Terran-Campbell.1.png,Canada.png,https://en.wikipedia.org/wiki/Terran_Campbell,,Terran Campbell
Pacific FC,Thomas Meilleur-Giguère,d,0,Canada,1997-11-13,Thomas-Meilleur-Giguère.1.png,Canada.png,https://en.wikipedia.org/wiki/Thomas_Meilleur-Giguère,,Thomas Meilleur-Giguère
Pacific FC,Victor Blasco,m,23,Spain,1994-07-01,Victor-Blasco.1.png,Spain.png,https://en.wikipedia.org/wiki/Victor_Blasco,,Victor Blasco
Pacific FC,Zachary Verhoven,m,16,Canada,1998-08-17,Zach-Verhoven.1.png,Canada.png,https://en.wikipedia.org/wiki/Zachary_Verhoven,,Zach Verhoven
Pacific FC,Emil Gazdov,g,0,Canada,,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific_FC,,Emil Gazdov
Valour FC,Amir Soto,d,0,Panama,NA,empty.jpg,Panama.png,https://en.wikipedia.org/wiki/Valour_FC,,Amir Soto
Valour FC,Andrew Jean-Baptiste,d,0,Haiti,1992-06-16,Andrew-Jean-Baptiste.1.png,Haiti.png,https://en.wikipedia.org/wiki/Andrew_Jean-Baptiste,,Andrew Jean-Baptiste
Valour FC,Arnold Bouka Moutou,d,0,Congo,1988-11-28,empty.jpg,Congo.png,https://en.wikipedia.org/wiki/Arnold_Bouka_Moutou,,Arnold Bouka Moutou
Valour FC,Brett Levis,m,0,Canada,1993-03-29,Brett-Levis.1.png,Canada.png,https://en.wikipedia.org/wiki/Brett_Levis,,Brett Levis
Valour FC,Daryl Fordyce,f,0,Northern Ireland,1987-01-02,empty.jpg,Ireland.png,https://en.wikipedia.org/wiki/Daryl_Fordyce,,Daryl Fordyce
Valour FC,Diego Gutiérrez,m,8,Canada,1997-02-18,Diego-Gutiérrez.1.png,Canada.png,https://en.wikipedia.org/wiki/Diego_Gutiérrez,,Diego Gutiérrez
Valour FC,Dylan Carreiro,m,10,Canada,1995-01-20,Dylan-Carreiro.1.png,Canada.png,https://en.wikipedia.org/wiki/Dylan_Carreiro,,Dylan Carreiro
Valour FC,Federico Peña,f,77,Trinidad and Tobago,1999-03-30,empty.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Federico_Peña,,Federico Peña
Valour FC,Fraser Aird,m,0,Canada,1995-02-02,Fraser-Aird.1.png,Canada.png,https://en.wikipedia.org/wiki/Fraser_Aird,,Fraser Aird
Valour FC,James Pantemis,g,0,Canada,1997-02-21,James-Pantemis.1.png,Canada.png,https://en.wikipedia.org/wiki/James_Pantemis,,James Pantemis
Valour FC,José Galán,m,21,Spain,1986-02-02,José-Galán.1.png,Spain.png,https://en.wikipedia.org/wiki/José_Antonio_Galán_Pedrosa,,José Galán
Valour FC,Mastanabal Kacher,f,0,Algeria,1995-11-08,empty.jpg,Algeria.png,https://en.wikipedia.org/wiki/Masta_Kacher,,Masta Kacher
Valour FC,Moses Dyer,m,0,New Zealand,1997-03-21,Moses-Dyer.1.png,NewZealand.png,https://en.wikipedia.org/wiki/Moses_Dyer,,Moses Dyer
Valour FC,Nicolás Galvis,m,14,Colombia,1997-04-09,empty.jpg,Colombia.png,https://en.wikipedia.org/wiki/Nicolás_Galvis,,Nicolás Galvis
Valour FC,Raphael Ohin,m,27,Ghana,1995-05-25,empty.jpg,Ghana.png,https://en.wikipedia.org/wiki/Raphael_Ohin,,Raphael Ohin
Valour FC,Raphaël Garcia,d,2,Canada,1999-05-06,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Raphaël_Garcia,,Raphaël Garcia
Valour FC,Solomon Kojo Antwi,m,0,Ghana,2000-09-25,Soloman-Antwi.1.png,Ghana.png,https://en.wikipedia.org/wiki/Valour_FC,,Solomon Kojo Antwi
Valour FC,Stefan Cebara,m,0,Canada,1991-04-12,Stefan-Cebara.1.png,Canada.png,https://en.wikipedia.org/wiki/Stefan_Cebara,,Stefan Cebara
Valour FC,Yohan Le Bourhis,d,25,Canada,2000-03-09,Yohan-Le-Bourhis.1.png,Canada.png,https://en.wikipedia.org/wiki/Yohan_Le_Bourhis,,Yohan Le Bourhis
Valour FC,Austin Ricci,f,7,Canada,1996-04-08,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Austin_Ricci,0.09,
York9 FC,Isaiah Johnston,m,0,Canada,2001-08-14,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Adrián_Ugarriza,,Isaiah Johnston
York9 FC,Brian Isaías López,m,0,Argentina,NA,empty.jpg,Argentina.png,https://en.wikipedia.org/wiki/Brian_López,,Brian López
York9 FC,Chris Mannella,m,0,Canada,1994-06-07,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Mannella,,Chris Mannella
York9 FC,Ezequiel Carrasco,g,0,Canada,2002-09-11,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/York9_FC,,Ezequiel Carrasco
York9 FC,Diyaeddine Abzi,d,20,Canada,1998-11-23,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Diyaeddine_Abzi,,Diyaeddine Abzi
York9 FC,Fugo Segawa,d,0,Japan,1997-08-11,empty.jpg,Japan.png,https://en.wikipedia.org/wiki/Fugo_Segawa,,Fugo Segawa
York9 FC,Gabriel Vasconcelos,f,0,Brazil,1996-03-15,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Gabriel_Vasconcelos,,Gabriel Vasconcelos
York9 FC,Jacó,f,0,Brazil,1996-02-27,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Jacó,,Jacó
York9 FC,Joseph Di Chiara,m,8,Canada,1992-01-30,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,,Joseph Di Chiara
York9 FC,Kyle Porter,m,19,Canada,1990-01-19,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Porter,,Kyle Porter
York9 FC,Luca Gasparotto,d,13,Canada,1995-03-09,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Luca_Gasparotto,,Luca Gasparotto
York9 FC,Manuel Aparicio,m,10,Canada,1995-09-17,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Manuel_Aparicio,,Manny Aparicio
York9 FC,Matthew Arnone,d,0,Canada,1994-02-28,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Matthew_Arnone,,Matthew Arnone
York9 FC,Max Ferrari,m,0,Canada,2000-08-20,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Max_Ferrari,,Max Ferrari
York9 FC,Michael Petrasso,m,21,Canada,1995-07-09,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Michael_Petrasso,,Michael Petrasso
York9 FC,Morey Doner,d,3,Canada,1994-03-25,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Morey_Doner,,Morey Doner
York9 FC,Nathan Ingham,g,29,Canada,1993-06-27,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Nathan_Ingham,,Nathan Ingham
York9 FC,Nicholas Hamilton,f,0,Jamaica,1996-03-16,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Nicholas_Hamilton,,Nicholas Hamilton
York9 FC,Ryan Telfer,m,18,Canada,1994-03-04,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Ryan_Telfer,,Ryan Telfer
York9 FC,Roger Thompson,d,6,Canada,1991-12-19,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Roger_Thompson,,Roger Thompson
York9 FC,Wataru Murofushi,m,23,Japan,1995-06-13,empty.jpg,Japan.png,https://en.wikipedia.org/wiki/Wataru_Murofushi,,Wataru Murofushi
York9 FC,Julian Altobelli,m,,Canada,2002-11-04,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/York9_FC,,Julian Altobelli
